node_name,edge_name,name_of_component,severity
Parallel_Computing,requires,High_Performance_Architecture,high
Parallel_Computing,enables,Distributed_Systems,high
Distributed_Systems,uses,Message_Passing_Interface,high
Message_Passing_Interface,implemented_with,MPI_Libraries,high
High_Performance_Architecture,applied_in,GPUs,high
GPUs,accelerate,Machine_Learning,high
Machine_Learning,uses_algorithm,Neural_Networks,high
Neural_Networks,optimized_by,Parallel_Computing,high
Machine_Learning,requires,Data_Sets,high
Data_Sets,used_in,Model_Training,high
Model_Training,accelerated_by,GPUs,high
Compilers,translate,Source_Code,high
Compilers,optimizes,Machine_Code,high
Source_Code,written_in,C++_Python,high
Machine_Code,executed_on,High_Performance_Architecture,high
Parallel_Computing,applied_in,Tensor_Computations,high
Tensor_Computations,accelerated_by,GPUs,high
ML_Frameworks,implemented_with,Parallel_Computing,high
ML_Frameworks,used_for,Neural_Networks,high
CUDA,enables,GPUs,high
LLVM,used_for,Compilers,high
LLVM,optimizes,Code_Generation,high
Code_Generation,used_in,Parallel_Computing,high
Profiling_Tools,monitor,High_Performance_Architecture,medium
Profiling_Tools,applied_to,Machine_Learning,medium
GPU_Clusters,support,Distributed_Systems,high
Distributed_Systems,monitored_by,Profiling_Tools,medium
Parallel_Algorithms,implemented_in,ML_Frameworks,high
ML_Frameworks,optimized_by,Parallel_Algorithms,high
Neural_Networks,trained_on,Data_Sets,high
